gate,name,verdict,load_bearing,evidence,detail
1,Namespace and byte closure,PASS WITH CONDITION,yes,audit_closure_corpus_cohort.json,"6/6 declared payloads byte-identical; script 52673 B / 28735991…; inventory 278dbf80…; seal a1277e46…; all seal internal bindings and all 5 upstream anchors match; RUN_AUTHORIZATION_TEMPLATE.json fails 6 of 8 required fields and can never authorize. CONDITION: 1 unbound artifact __pycache__/v52_t4f1_beam_retrieval.cpython-312.pyc (0dca302e…) — defect D1"
2,Environment enforcement,PASS,yes,AUTHORIZATION_NEGATIVE_TESTS.json,"Locked runtime 3.12.13/2.3.2/1.16.1/1.7.1/7.0.0 with all four thread vars=1 and PYTHONHASHSEED=0; 6 negative cases (OMP=4, MKL unset, HASHSEED=1, OPENBLAS=8, NUMEXPR=2, wrong interpreter) all block before any fit; no preflight output written under a bad environment"
3,Corpus byte identity,PASS,yes,audit_closure_corpus_cohort.json,"Git blob SHA1 reconstructed from raw bytes for all 192 files (96 chat.json + 96 probing_questions.json); 192/192 blob and size match the accepted pinned-tree manifest (205 selected entries); manifest commit == 3e120355…; directory name not trusted"
4,Cohort and source-ID join,PASS,yes,audit_closure_corpus_cohort.json,"2000 rows; unique audit_question_id; exactly 1712 eligible; 96 archives; 1M::5/26/33/34 absent; all eligible EXACT_SOURCE_IDS and non-abstention with positive gold matching gold_source_unit_count; 587 questions with |G|>3; raw IDs unique in all 96 archives; every eligible gold ID joins exactly once; all 1712 question indices resolve. No question was ranked"
5,Static and runtime leakage,PASS,yes,STATIC_RUNTIME_LEAKAGE_AUDIT.json,"fit_archive_representation(memory_texts) single-arg; no answer/ideal/rubric/grade/evaluator/judge/difficulty/source-order token; only ENVIRONMENT_LOCK+THREAD_LOCK at module level, never mutated; no memoisation. Runtime on 2 synthetic archives: exactly 1 fit/archive; only role-prefixed str lists reach the fit; query marker only in transform_queries; ITQ payload is exactly a fit-produced centered C96; priority key list hash-identical to independent recomputation; metrics_at_3 first called only after the first ranking"
6,Representation equivalence,PASS,yes,REPRESENTATION_EQUIVALENCE.json + INDEPENDENT_RERUN_PREFLIGHT.json,"Independent reimplementation from the sealed spec on raw 100K::12: 392 units, 392x96, query 1x96, rank(y96)=96, finite; archive 25089a07… and query e422490a… both equal the sealed anchors and equal the candidate output byte-for-byte; repeat-identical; one cached fit == per-query refit (exact array equality); a different conversation yields a different model. Candidate preflight reproduced the preparation evidence in all 66 keys with zero differences"
7,Binary arms and invariance,PASS,yes,SYNTHETIC_METHOD_EQUIVALENCE.json,"Native: centered coordinates, threshold >=0, exact zero -> True, centering load-bearing. Signed perm seeds 43001-43005 with declared order permutation(96) then choice([-1,+1],96) (swapped order does not reproduce); all 5 seeds x 7 queries give distances, tie sets, full rankings and top-3 sets exactly equal to Native. Haar seeds 43001-43005: Q*sign(diag(R)) with 0->+1, differs from row-axis/uncorrected/transposed variants; orthogonality, dot products and both norm vectors preserved <=1e-12; transform common to archive and query; inconsistent transpose provably breaks"
8,ITQ implementation,PASS,yes,SYNTHETIC_METHOD_EQUIVALENCE.json,"Byte-identical (raw-buffer SHA256) to a verbatim transcription of the canonical audited adapters/longmemeval_v52_adapter.py::fit_itq for all seeds 101/202/303/404/505; default_rng init, SVD orthogonal factor, B=+1 where V@R>=0, C=B.T@V, R=Vt.T@U.T; ITQ_ITERATIONS=100 with the loop bound to the parameter and the run path using the default; differs from covariance-transposed and Procrustes-transposed variants; orthogonal; archive-only fit; common rotation; descriptive-only in the seal"
9,Tie and nuisance semantics,PASS,yes,SYNTHETIC_METHOD_EQUIVALENCE.json,"tie_priority == uint128_be(SHA256(b'V52_T4F0_TIE_PRIORITY_V1' + NUL + archive_id + NUL + memory_key)[:16]); no-separator, little-endian and last-16-byte variants all differ; (hi,lo) uint64 split reproduces true 128-bit order over 500 keys; lexsort precedence = distance -> priority_hi -> priority_lo -> canonical index; memory key == tier::conversation_id::decimal_raw_message_id; no trial in any priority/rank signature; trials 0..19 emitted with every non-trial field constant. Literal trial interpretation judged FAITHFUL and NON-MISLEADING"
10,Metrics and structural zero,PASS,yes,SYNTHETIC_METHOD_EQUIVALENCE.json,"10 synthetic-ID cases: zero hits, single hit/miss, partial 1/2 and 2/3, complete 2/2 and 3/3, structural zero at |G|=4 and |G|=96, and 4-gold no-hit — all exact; duplicates cannot inflate (0.5 not 1.0); TOP_K==3; retrieved values are raw message IDs, exactly 3, unique; ALL@3==0 whenever |G|>3"
11,Checkpoint and resume safety,PASS,yes,SYNTHETIC_AGGREGATION_TESTS.json,"os.replace atomic writes with .tmp staging and no residue; CSV+meta pairing enforced both ways; CSV byte tamper caught by the meta-bound SHA256; meta row-count tamper caught; question-count mismatch caught; absent checkpoint returns False; overwrite refused; archive id '::'->'__' so no traversal is constructible; resume skips only fully validated checkpoints; finalization refuses fewer than 96 archives and refuses a second finalization"
