[LOCAL EXPLORATORY PILOT] [NOT PREREGISTERED] [NOT FOR CITATION] [DISCLOSE-BEFORE-USE]
# LIT_LEDGER — what prior programme literature rounds actually measured
# Status rule (never upgraded): VERIFIED = re-derived from raw per-query data THIS session.
#   Nothing below is VERIFIED (no per-query recomputation was run in this inventory).
#   CLAIM = a producer report states it; stored copy inspected this session.
#   RELAYED = stored copy quotes another source; original not inspected.
# Metrics are NEVER converted: nDCG@10 stays nDCG@10; FR@3 stays FR@3; ANN recall stays ANN recall.
# Benchmarks are NEVER averaged: LME / PerLTQA / RealTalk / NanoBEIR / MuSiQue / MTEB etc. stay separate.
# Format: every data field is double-quoted; header line starts with "paper".
"paper","table_or_section","metric_exact","K","corpus_N","number","unit","payload_bytes_per_doc","status","stored_copy_path","notes"
"PPLX (Diffusion-Pretrained Dense and Contextual Embeddings arXiv:2602.11151v2)","Table 1 MTEB-Multilingual-v2","avg nDCG@10","10","18 retrieval tasks MTEB Multilingual v2","69.66","%","2560 (derived from 2560-D INT8; Docs/MB 390 stated)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-4B INT8; authors own evaluation not rerun here"
"PPLX","Table 1 MTEB-Multilingual-v2","avg nDCG@10","10","18 tasks MTEB Multilingual v2","68.22","%","320 (derived from 2560-bit BIN; Docs/MB 3125 stated)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-4B BIN (post-hoc binarization)"
"PPLX","Table 1 MTEB-Multilingual-v2","avg nDCG@10","10","18 tasks MTEB Multilingual v2","69.60","%","10240 (derived 2560-D FP32; Docs/MB 97 stated)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","Qwen3-Embedding-4B FP32 PPLX authors run"
"PPLX","Table 1 MTEB-Multilingual-v2","avg nDCG@10","10","18 tasks MTEB Multilingual v2","67.71","%","not stated (Docs/MB 81 stated)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","gemini-embedding-001 PPLX authors run"
"PPLX","Table 1 MTEB-Multilingual-v2","avg nDCG@10","10","18 tasks MTEB Multilingual v2","65.41","%","1024 (derived 1024-D INT8; Docs/MB 976 stated)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-0.6B INT8"
"PPLX","Table 1 MTEB-Multilingual-v2","avg nDCG@10","10","18 tasks MTEB Multilingual v2","61.44","%","128 (derived 1024-bit BIN; Docs/MB 7812 stated)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-0.6B BIN; smallest reported code 128 B still above 12 B"
"PPLX","Table 1 MTEB-Code","avg nDCG@10","10","12 tasks MTEB Code","78.73","%","2560 (derived; Docs/MB 390 stated)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-4B INT8"
"PPLX","Table 1 MTEB-Code","avg nDCG@10","10","12 tasks MTEB Code","78.11","%","320 (derived; Docs/MB 3125 stated)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-4B BIN"
"PPLX","Table 1 MTEB-Code","avg nDCG@10","10","12 tasks MTEB Code","80.07","%","not stated (Docs/MB 97 stated)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","Qwen3-Embedding-4B PPLX authors run; beats PPLX-4B here"
"PPLX","Table 2 MIRACL","avg nDCG@10","10","MIRACL RetrievalHardNegatives 18 langs","66.2","%","2560 (derived; Docs/MB 390 stated)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-4B INT8"
"PPLX","Table 2 MIRACL","avg nDCG@10","10","MIRACL 18 langs","68.6","%","1024 (derived; Docs/MB 976 stated)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-0.6B INT8 beats pplx-4B INT8 here (66.2)"
"PPLX","Table 2 MIRACL","avg nDCG@10","10","MIRACL 18 langs","64.2","%","128 (derived; Docs/MB 7812 stated)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-0.6B BIN"
"PPLX","Table 3 ConTEB","avg nDCG@10","10","8 ConTEB chunk tasks","58.83","%","2560 (derived INT8)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-4B INT8 non-contextual"
"PPLX","Table 3 ConTEB","avg nDCG@10","10","8 ConTEB tasks","57.91","%","320 (derived BIN)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-4B BIN non-contextual"
"PPLX","Table 3 ConTEB","avg nDCG@10","10","8 ConTEB tasks","81.96","%","not stated (INT8 chunk codes; one code per chunk)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-context-4B INT8; needs document context at index plus late chunking; separate setting"
"PPLX","Table 3 ConTEB","avg nDCG@10","10","8 ConTEB tasks","80.46","%","not stated (BIN chunk codes)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-context-4B BIN"
"PPLX","Table 3 ConTEB","avg nDCG@10","10","8 ConTEB tasks","79.45","%","not stated","RELAYED","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","voyage-context-3; quoted via Conti et al toolkit context original not inspected"
"PPLX","Table 3 ConTEB","avg nDCG@10","10","8 ConTEB tasks","72.4","%","not stated","RELAYED","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","Anthropic contextual; taken from Conti et al 2025 original not inspected"
"PPLX","Table 4 BERGEN","answer-match rate (top-5 passages to Qwen2.5-32B generator)","5","KILT 24.8M passages; NQ task","67.7","%","not stated (INT8 codes)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-4B INT8; NOT a retrieval Hit metric"
"PPLX","Table 4 BERGEN","answer-match rate","5","KILT 24.8M HotpotQA","51.9","%","not stated","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-4B INT8"
"PPLX","Table 4 BERGEN","answer-match rate","5","KILT 24.8M TriviaQA","91.9","%","not stated","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-4B INT8"
"PPLX","Table 5 ToolRet","avg nDCG@10","10","35 tool-retrieval tasks","44.45","%","not stated (INT8)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx_recovered.md","pplx-4B INT8"
"PPLX","Table 6 PPLXQ2Q (internal)","Recall@10","10","2.4M pseudo-documents URL-cluster relevance (vendor-internal)","73.46","%","not stated (INT8)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx.html","4B INT8; vendor query-to-query protocol not gold-passage Hit@10"
"PPLX","Table 6 PPLXQ2Q (internal)","Recall@10","10","2.4M pseudo-docs","72.41","%","not stated (BIN)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx.html","4B BIN"
"PPLX","Table 6 PPLXQ2Q (internal)","Recall@10","10","2.4M pseudo-docs","67.90","%","not stated","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx.html","Qwen3-4B PPLX authors run"
"PPLX","Table 6 PPLXQ2Q (internal)","Recall@10","10","2.4M pseudo-docs","71.05","%","not stated (INT8)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx.html","0.6B INT8"
"PPLX","Table 6 PPLXQ2Q (internal)","Recall@10","10","2.4M pseudo-docs","68.60","%","not stated (BIN)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx.html","0.6B BIN"
"PPLX","Table 6 PPLXQ2Q (internal)","Recall@10","10","2.4M pseudo-docs","61.78","%","not stated","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/pplx.html","BGE-M3 PPLX authors run"
"Nemotron-3-Embed-8B model card (NVIDIA vendor)","vendor eval table RTEB-16","avg nDCG@10","10","RTEB-16 (16 tasks)","78.46","%","8192 (derived 4096-D BF16; NOT stated as code payload)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/REPORT.md and citations.json","vendor claim dated 2026-07-16; table not located in stored card excerpt this session"
"Nemotron-3-Embed-8B model card (NVIDIA vendor)","vendor eval table MMTEB Retrieval","avg nDCG@10","10","MMTEB Retrieval","75.45","%","8192 (derived; not stated)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/REPORT.md and citations.json","vendor claim dated 2026-07-16"
"Nemotron-3-Embed-8B model card","Output section (architecture)","architecture fact: output dimension","-","-","4096","dimensions","4096-D output; slicing to 2048/1024 allowed only with re-normalization; 8B params","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/nemotron_raw.md","BF16 checkpoint dtype is NOT embedding storage dtype"
"Independent MuSiQue panel (non-vendor preprint arXiv:2608.16096v1)","Table 1 panel harness","Recall@5","5","11656 passages and 1000 MuSiQue dev Qs (multi-gold: 2-3 needed)","69.79","%","full-float (not a code)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/independent_musique.md","Nemotron-3-Embed-8B self-host; 95pc CI 68.13-71.43; multi-gold recall NOT Hit@10"
"Independent MuSiQue panel","Table 1 panel harness","Recall@10","10","11656 passages and 1000 Qs","77.54","%","full-float (not a code)","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/independent_musique.md","Nemotron-3-Embed-8B; 95pc CI 75.96-79.09"
"Independent MuSiQue panel","Table 1 panel harness","Recall@5","5","11656 passages and 1000 Qs","69.55","%","full-float","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/independent_musique.md","NV-Embed-v2 anchor (non-commercial cc-by-nc-4.0); CI 67.89-71.20"
"Independent MuSiQue panel","Table 1 panel harness","Recall@10","10","11656 passages and 1000 Qs","78.12","%","full-float","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/independent_musique.md","NV-Embed-v2; CI 76.58-79.63; delta vs Nemotron n.s."
"Independent MuSiQue panel","Table 1 panel harness","Recall@5","5","11656 passages and 1000 Qs","67.24","%","full-float API","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/independent_musique.md","Gemini embedding-001; gap to anchor 2.31 pts significant pre-Nemotron"
"Independent MuSiQue panel","Table 1 panel harness","Recall@10","10","11656 passages and 1000 Qs","62.89","%","full-float","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/independent_musique.md","BGE-M3 dense; CI 61.17-64.61; second-last in panel"
"Independent MuSiQue panel","Table 1 panel harness","Recall@10","10","11656 passages and 1000 Qs","68.53","%","full-float","CLAIM","/mnt/c/Users/MDP/dev/llmzip-work/top10_literature_20260915/sources/independent_musique.md","Qwen3-VL-Embedding-8B"
