conv_id,question_id,category,gold_count,sign_fractional_R3,centered_cosine_fractional_R3,sign_hard_negative_margin_bits,centered_cosine_hard_negative_margin,sign_beats_cosine
locomo_0,locomo_0_qa0,2,1,1.0,1.0,5.0,0.06844083034890414,0
locomo_0,locomo_0_qa1,2,1,0.0,0.0,-8.0,-0.4124575438188799,0
locomo_0,locomo_0_qa2,3,2,0.0,0.0,-14.0,-0.4913548000883904,0
locomo_0,locomo_0_qa3,1,1,0.0,0.0,-9.0,-0.6820317520850967,0
locomo_0,locomo_0_qa4,1,2,0.0,0.0,-11.0,-0.3577946620383845,0
locomo_0,locomo_0_qa5,2,1,1.0,0.0,0.0,-0.19202696419656617,1
locomo_0,locomo_0_qa6,2,1,1.0,1.0,-3.0,-0.03934375425329878,0
locomo_0,locomo_0_qa7,1,2,0.0,0.0,-10.0,-0.16181296098118153,0
locomo_0,locomo_0_qa8,2,1,0.0,0.0,-25.0,-0.6417280316521325,0
locomo_0,locomo_0_qa9,2,1,1.0,1.0,7.0,0.21539972342664426,0
locomo_0,locomo_0_qa10,2,1,0.0,0.0,-22.0,-0.514209244951279,0
locomo_0,locomo_0_qa11,1,2,0.0,0.0,-14.0,-0.5849378383213613,0
locomo_0,locomo_0_qa12,2,1,1.0,1.0,-2.0,-0.08613555374758952,0
locomo_0,locomo_0_qa13,1,2,0.0,0.0,-11.0,-0.14697298536801728,0
locomo_0,locomo_0_qa14,3,2,0.5,0.5,-4.0,-0.08562675277878373,0
locomo_0,locomo_0_qa15,1,4,0.0,0.0,-7.0,-0.3256012392725511,0
locomo_0,locomo_0_qa16,2,1,0.0,0.0,-10.0,-0.09215713041417928,0
locomo_0,locomo_0_qa17,2,1,1.0,1.0,10.0,0.31328907836114844,0
locomo_0,locomo_0_qa18,1,3,0.0,0.0,-9.0,-0.14633504990763277,0
locomo_0,locomo_0_qa19,1,2,0.0,0.0,-7.0,-0.43843965792942674,0
locomo_0,locomo_0_qa20,2,1,0.0,0.0,-16.0,-0.6101330479764777,0
locomo_0,locomo_0_qa21,2,1,0.0,0.0,-19.0,-0.7139482001168145,0
locomo_0,locomo_0_qa22,3,1,1.0,1.0,1.0,0.12549594707658585,0
locomo_0,locomo_0_qa23,1,2,0.0,0.0,-16.0,-0.42953242553488113,0
locomo_0,locomo_0_qa24,1,2,0.0,0.0,-13.0,-0.5413953769676284,0
locomo_0,locomo_0_qa25,2,1,0.0,0.0,-14.0,-0.22155437742923784,0
locomo_0,locomo_0_qa26,2,1,0.0,0.0,-7.0,-0.4403471678553153,0
locomo_0,locomo_0_qa27,3,2,0.0,0.5,-19.0,-0.08413352719515255,0
locomo_0,locomo_0_qa28,2,1,0.0,0.0,-5.0,-0.37868096446337574,0
locomo_0,locomo_0_qa29,2,1,0.0,0.0,-6.0,-0.2472400308428236,0
locomo_0,locomo_0_qa31,2,1,0.0,0.0,-17.0,-0.5926257961002179,0
locomo_0,locomo_0_qa32,1,7,0.02857142857142857,0.2857142857142857,-5.0,0.021573262673053484,0
locomo_0,locomo_0_qa33,2,1,0.4,0.0,-6.0,-0.02286101404213675,1
locomo_0,locomo_0_qa34,1,2,0.0,0.0,-9.0,-0.22194149100774804,0
locomo_0,locomo_0_qa35,2,1,0.0,0.0,-5.0,-0.43664379700540523,0
locomo_0,locomo_0_qa36,2,1,1.0,0.0,5.0,-0.32055627153478305,1
locomo_0,locomo_0_qa37,1,2,0.0,0.0,-18.0,-0.5411497601488863,0
locomo_0,locomo_0_qa38,1,6,0.0,0.0,-13.0,-0.41640298169385265,0
locomo_0,locomo_0_qa39,1,4,0.25,0.25,0.0,-0.05793529020879207,0
locomo_0,locomo_0_qa40,1,2,0.5,0.0,-8.0,-0.13734458590333698,1
locomo_0,locomo_0_qa41,2,1,0.0,0.0,-2.0,-0.28615600246046885,0
locomo_0,locomo_0_qa42,3,2,0.0,0.0,-15.0,-0.15932769985885015,0
locomo_0,locomo_0_qa43,1,5,0.0,0.0,-8.0,-0.45237346955874735,0
locomo_0,locomo_0_qa44,2,1,1.0,1.0,11.0,0.21864979573958282,0
locomo_0,locomo_0_qa45,2,1,0.0,0.0,-6.0,-0.1531679015011762,0
locomo_0,locomo_0_qa47,1,2,0.5,0.0,-5.0,-0.16928391820800848,1
locomo_0,locomo_0_qa48,1,4,0.0,0.0,-11.0,-0.3490188571291226,0
locomo_0,locomo_0_qa49,2,1,0.0,0.0,-13.0,-0.6131772523514256,0
locomo_0,locomo_0_qa50,3,1,0.0,0.0,-20.0,-0.15812368693308326,0
