audit_question_id,tier,conversation_id,ability,category,source_shape,source_field_present,conversation_reference_present,conversation_references_present,raw_source_ref_count,unique_source_id_count,matched_source_id_count,unmatched_source_id_count,ambiguous_source_id_count,duplicate_source_ref_id_count,source_parse_error,raw_source_ids,unique_source_ids,matched_source_ids,unmatched_source_ids,ambiguous_source_ids,duplicate_source_refs
100K::1::contradiction_resolution::1,100K,1,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[58, 24]","[58, 24]","[24, 58]",[],[],[]
100K::1::contradiction_resolution::2,100K,1,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,1,1,0,0,1,,"[66, 66]",[66],[66],[],[],[66]
100K::1::event_ordering::1,100K,1,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,3,3,3,0,0,0,,"[4, 60, 116]","[4, 60, 116]","[4, 60, 116]",[],[],[]
100K::1::event_ordering::2,100K,1,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,5,4,4,0,0,1,,"[6, 62, 118, 118, 120]","[6, 62, 118, 120]","[6, 62, 118, 120]",[],[],[118]
100K::1::information_extraction::1,100K,1,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,1,1,1,0,0,0,,[28],[28],[28],[],[],[]
100K::1::information_extraction::2,100K,1,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,2,2,2,0,0,0,,"[28, 29]","[28, 29]","[28, 29]",[],[],[]
100K::1::instruction_following::1,100K,1,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,2,2,2,0,0,0,,"[54, 56]","[54, 56]","[54, 56]",[],[],[]
100K::1::instruction_following::2,100K,1,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,,[110],[110],[110],[],[],[]
100K::1::knowledge_update::1,100K,1,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[86, 114]","[86, 114]","[86, 114]",[],[],[]
100K::1::knowledge_update::2,100K,1,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,,"[148, 182]","[148, 182]","[148, 182]",[],[],[]
