gate,name,result,evidence,summary
G1,Recursive byte closure and bindings,PASS,evidence/G1_byte_closure.json,"Exactly 8 files; 0 nested dirs; 0 __pycache__; runner/inventory/seal sizes+SHA256 match; payload closure exact; inventory-seal binding OK; nested unbound file rejected in temp copy; candidate byte-identical after tests"
G2,V2-to-V3 change isolation,PASS,evidence/G2_change_isolation.json,"Only write_csv, write_json_no_replace(new), finalize_results, verify_execution_seal, preflight changed; evaluate_archive and verify_existing_archive differ ONLY by _META_V2->_META_V3 literal (AST-identical after normalization); no seed/threshold/tie/metric/aggregation change"
G2b,Schema-only delta proof,PASS,evidence/G2b_schema_only_delta.json,"Token-level proof that the two flagged functions differ solely by the schema version literal"
G3,Preserved outcome-free numerical/leakage gates and 100K::12 canary,BLOCKED,evidence/G3_canary_reconstruction.json;evidence/G3_blas_dispatch_sensitivity.json,"Archive units 392 and shapes 392x96 / 1x96 correct; corpus blob SHA1 matches pinned manifest; BUT pinned canary digests NOT reproduced in a fully lock-conformant environment. Digest varies with OpenBLAS kernel dispatch (4 distinct digests over 6 coretypes); none matches the pinned value. Candidate --mode preflight therefore blocks on conformant hardware"
G4,B1 no-replace finalization,PASS,evidence/G4_G5_G6_G7_matrix.json,"All 4 destinations and all 4 .tmp paths block before any byte changes; sentinels byte-identical; partial/crash-left set blocks; rerun after success blocks with outputs unchanged; commit is exclusive via os.link, not merely an early exists() check"
G5,B2 exact frozen-gold metric recomputation,PASS,evidence/G4_G5_G6_G7_matrix.json,"Changed IDs with unchanged metrics, each changed stored metric, NaN/inf/out-of-range metrics, duplicate/non-string/noncanonical/boolean/malformed IDs and gold-cardinality inconsistency all block; exact valid rows still finalize"
G6,B3 exact control and trial replication,PASS,evidence/G4_G5_G6_G7_matrix.json,"Signed-control top-3 membership, ID order and distance divergence each block even with metrics equal; missing and duplicate cells block; trial replication identity covers IDs and distances"
G7,Aggregation and output schema,PASS,evidence/G7_aggregation_schema.json,"320 rows/eligible question; 16 question-seed rows; 4 question-method rows; 4 aggregate rows; fixed denominator; equal question weighting; sorted integer Hamming distances; structural ALL@3 zeros retained; trials are replication identities"
G8,Active bug hunt beyond B1-B3,PASS,evidence/G8_bug_hunt.json;evidence/G8_checkpoint_tamper_retest.json,"Duplicate cell at constant row count, TOCTOU destination race, symlinked and dangling-symlink destinations, stale V2-schema checkpoint, provenance substitution, post-stamp CSV tamper and cross-archive mixing all block; archive checkpoint re-write blocked"
D2,Fail-closed authorization,PASS,evidence/D2_authorization_and_leakage.json,"Shipped template and a structurally complete unsigned fixture both blocked with HMAC env absent; sealed key commitment is the literal PENDING_HEAD_RESEARCHER_PREREGISTRATION so no valid authorization is constructible without changing sealed bytes"
LEAK,Archive-fit and canary leakage statics,PASS,evidence/D2_authorization_and_leakage.json,"fit_archive_representation takes only memory_texts with no forbidden token; canary never calls rank_hamming, load_questions or metrics_at_3"
