conv_id,question_id,category,archive_size,archive_size_quartile,raw_retrievable_gold_count,audit_retrievable_gold_count,raw_evidence_valid,audit_evidence_valid
locomo_0,locomo_0_qa0,2,419,1,1,1,1,1
locomo_0,locomo_0_qa1,2,419,1,1,1,1,1
locomo_0,locomo_0_qa2,3,419,1,2,2,1,1
locomo_0,locomo_0_qa3,1,419,1,1,1,1,1
locomo_0,locomo_0_qa4,1,419,1,1,2,1,1
locomo_0,locomo_0_qa5,2,419,1,1,1,1,1
locomo_0,locomo_0_qa6,2,419,1,1,1,1,1
locomo_0,locomo_0_qa7,1,419,1,2,2,1,1
locomo_0,locomo_0_qa8,2,419,1,1,1,1,1
locomo_0,locomo_0_qa9,2,419,1,1,1,1,1
locomo_0,locomo_0_qa10,2,419,1,1,1,1,1
locomo_0,locomo_0_qa11,1,419,1,2,2,1,1
locomo_0,locomo_0_qa12,2,419,1,1,1,1,1
locomo_0,locomo_0_qa13,1,419,1,2,2,1,1
locomo_0,locomo_0_qa14,3,419,1,2,2,1,1
locomo_0,locomo_0_qa15,1,419,1,4,4,1,1
locomo_0,locomo_0_qa16,2,419,1,1,1,1,1
locomo_0,locomo_0_qa17,2,419,1,1,1,1,1
locomo_0,locomo_0_qa18,1,419,1,3,3,1,1
locomo_0,locomo_0_qa19,1,419,1,2,2,1,1
locomo_0,locomo_0_qa20,2,419,1,1,1,1,1
locomo_0,locomo_0_qa21,2,419,1,1,1,1,1
locomo_0,locomo_0_qa22,3,419,1,1,1,1,1
locomo_0,locomo_0_qa23,1,419,1,2,2,1,1
locomo_0,locomo_0_qa24,1,419,1,2,2,1,1
locomo_0,locomo_0_qa25,2,419,1,1,1,1,1
locomo_0,locomo_0_qa26,2,419,1,1,1,1,1
locomo_0,locomo_0_qa27,3,419,1,2,2,1,1
locomo_0,locomo_0_qa28,2,419,1,1,1,1,1
locomo_0,locomo_0_qa29,2,419,1,1,1,1,1
locomo_0,locomo_0_qa30,3,419,1,0,0,0,0
locomo_0,locomo_0_qa31,2,419,1,1,1,1,1
locomo_0,locomo_0_qa32,1,419,1,4,7,1,1
locomo_0,locomo_0_qa33,2,419,1,1,1,1,1
locomo_0,locomo_0_qa34,1,419,1,2,2,1,1
locomo_0,locomo_0_qa35,2,419,1,1,1,1,1
locomo_0,locomo_0_qa36,2,419,1,1,1,1,1
locomo_0,locomo_0_qa37,1,419,1,2,2,1,1
locomo_0,locomo_0_qa38,1,419,1,6,6,1,1
locomo_0,locomo_0_qa39,1,419,1,4,4,1,1
locomo_0,locomo_0_qa40,1,419,1,2,2,1,1
locomo_0,locomo_0_qa41,2,419,1,1,1,1,1
locomo_0,locomo_0_qa42,3,419,1,2,2,1,1
locomo_0,locomo_0_qa43,1,419,1,3,5,1,1
locomo_0,locomo_0_qa44,2,419,1,1,1,1,1
locomo_0,locomo_0_qa45,2,419,1,1,1,1,1
locomo_0,locomo_0_qa46,3,419,1,0,0,0,0
locomo_0,locomo_0_qa47,1,419,1,2,2,1,1
locomo_0,locomo_0_qa48,1,419,1,3,4,1,1
locomo_0,locomo_0_qa49,2,419,1,1,1,1,1
locomo_0,locomo_0_qa50,3,419,1,1,1,1,1
