id,script,path_as_shipped,relative_equivalent_in_package,status,ambient_bytes_or_note
1,coordinator/decision_tests.py t1(),{W}/top10_comparison_r1/data/RT{01..10}.json,data/RT{01..10}.json,IN_PACKAGE,"all 10 sha256-identical pkg vs raw (RT01 d653e0f3…; RT02–RT10 verified IDENTICAL this session)"
2,coordinator/decision_tests.py t1(),{W}/top10_comparison_r1/audit/audit_baseline_lib.py (lib.det_top10),audit/audit_baseline_lib.py,IN_PACKAGE,"sha256-identical 673cb430… pkg vs raw"
3,coordinator/decision_tests.py t1(),HERE/LADDER.json (already relative),coordinator/LADDER.json,IN_PACKAGE,"already relative; used as-is, no adaptation needed"
4,coordinator/decision_tests.py t2(),{W}/incoming_20260916b/extracted/.../results/text_rerank_per_query.csv,(none — package has only inventory/*.csv ledgers),MISSING_HEAVY,"ambient 13255069 B / 164256 data rows + header; cleanroom t2() raises FileNotFoundError (see outputs/T2_T3_blockers.json)"
5,ablation_r2/perltqa/t3_ladder.py,/mnt/c/.../bench3/PerLTQA/Dataset/en_v2/perltqa_en_v2.json,(none),MISSING_HEAVY,"ambient 6975743 B; cleanroom open raises FileNotFoundError"
6,ablation_r2/perltqa/t3_ladder.py,/mnt/c/.../bench3/PerLTQA/Dataset/en_v2/perltmem_en_v2.json,(none),MISSING_HEAVY,"ambient 12988820 B; cleanroom open raises FileNotFoundError"
7,"ablation_r2/perltqa/t3_ladder.py + coordinator/t3_perltqa_kltn.py",/mnt/c/.../bench3/runs/b3b_perltqa/cache_arch_eval.pkl,(none),MISSING_HEAVY,"ambient 9439420 B; cleanroom open raises FileNotFoundError"
8,"ablation_r2/perltqa/t3_ladder.py + coordinator/t3_perltqa_kltn.py",/mnt/c/.../bench3/runs/b3b_perltqa/cache_q_eval.pkl,(none),MISSING_HEAVY,"ambient 7211278 B; cleanroom open raises FileNotFoundError"
9,coordinator/ladder.py,{W}/bench3/runs/b3a_realtalk/rt_repr/RT{01..10}.pkl,(none),MISSING_HEAVY,"ambient dir 7620619 B total (10 pkls); needed for fidelity gate + ladder arms"
10,coordinator/ladder.py,{W}/drive/v52_t4d_locomo_frozen_cross_benchmark.py,(none),MISSING_OUTSIDE_PACKAGE,"ambient 63381 B single .py loaded via importlib"
11,coordinator/t3_perltqa_kltn.py,{W}/bench3/runs/b3b_perltqa/step2_build.py (step2.build_items/fit_archive),(none),MISSING_OUTSIDE_PACKAGE,"ambient 9275 B single .py loaded via importlib"
12,all semantic/PPLX arms,model/ (2.4 GB HF pplx-embed-v1-0.6B),(excluded by design),EXCLUDED_BY_DESIGN,"sha256+revision recorded in MODEL_DOWNLOAD.json (server-matched at download); not exercised — no downloads per task rules"
13,coordinator/t3_ladder.py write path,/mnt/c/.../top10_comparison_r1/coordinator/T3_PERLTQA_KLTN.json (absolute write target),(none — would write outside package),WRITE_OUTSIDE_PACKAGE,"as-shipped t3_ladder.py:235 writes to raw work dir; stranger run would fail earlier at reads; noted as additional non-portability"
