path,files,purpose,audit_status,risk_if_wrong
top10_comparison_r1/(root),19,"protocol, model pointers, faiss helper",PARTIALLY,"LOW: scaffolding, no cited numbers"
top10_comparison_r1/coordinator/,41,"decision tests T1/T2, ladder, T3, 10 intermediate analyses",PARTIALLY,"HIGH: gate inputs live here; intermediates mostly unchecked"
top10_comparison_r1/data/,23,"RealTalk exports RT01-10, lexical summary",AUDITED_AS_INPUT,"HIGH if corrupt: feeds every recompute; round-1 reused it as ground truth without independent check"
top10_comparison_r1/decision_r1/,9,"referee gates + keep/kill/cost debate",PARTIALLY,"MED: gates read by all; chronology NOT PROVEN (single commit)"
top10_comparison_r1/digest_r1/,17,"re-derived digest, lit map, 4 brain checks",PARTIALLY,"MED: bothmiss check verified here; decisive/pools/corpora checks not recomputed"
top10_comparison_r1/ideas_r1/,17,"RealTalk channel ablation + firststage RRF pools",PARTIALLY,"HIGH: REPORT s4 verified here; ablation s3.3 numbers never recomputed"
top10_comparison_r1/inventory/,18,"ledger, do-not-repeat, gap lists",NEVER,"LOW: process docs, no cited numbers"
top10_comparison_r1/lit_r2/,12,"round-2 literature maps + fetch queues",NEVER,"MED: novelty wrappers rest on these; no protocol anywhere"
top10_comparison_r1/math_r1/,17,"quant arms (ITQ/RAND/MED) + repr arms (IDFp/SHIFT)",PARTIALLY,"HIGH: quant audited r1; repr arms cited REPORT s3.2 never recomputed"
top10_comparison_r1/ablation_r2/,18,"PerLTQA T3 ladder + LME channel ablation",PARTIALLY,"MED: T3 audited; LME tables PENDING, partial only"
top10_comparison_r1/baseline/,1032,"cached-rep top10 all benches, 4 arms, 9440 rows",PARTIALLY,"MED: 12/12 means re-verified here; ckpt states + audit script not reviewed"
top10_comparison_r1/audit/,12,"baseline/lexical audit libs + corrected per-query",PARTIALLY,"MED: tie-break contract reused everywhere; libs read not re-derived"
top10_comparison_r1/pq/,18,"faiss PQ equal-budget control, 705 rows",PARTIALLY,"MED: 33.05 re-verified here; faiss train itself never rerun"
top10_comparison_r1/semantic/,46,"PPLX encoder payloads + checkpoints",PARTIALLY,"LOW: no numbers claimed; abandonment account matches state"
top10_comparison_r1/model/,14,"weight pointers, pooling config",NEVER,"LOW: weights sha NOT verified by any round"
publication_package_root,26,"FINAL_STATE REPORT DECISION_TESTS LADDER manifests",AUDITED_DOCS,"HIGH: conclusions; stale LADDER doc known issue"
publication_incoming_20260916b,26,"external gpt-6-pro ladder/ideas/chat drops",PARTIALLY,"HIGH: T2 164k CSV trusted as arithmetic only, never re-derived"
