path,why_not_audited,risk
top10_comparison_r1/semantic/* (encode_pplx.py full-run output),encode stalled at RT01 partial (~120/662 docs); no PPLX scored artifacts exist to audit,HIGH — primary literature-candidate comparison has no results
top10_comparison_r1/baseline/ckpt_top10_*.jsonl + state_*.npz (1033 files; spot-checked only via gates/summary),volume; r3 residue role owned root logs not per-archive checkpoints,MED — single corrupt checkpoint could shift an arm mean
top10_comparison_r1/ideas_r1/* + ablation_r2/* + decision_r1/* + digest_r1/* + inventory/* + lit_r2/* + math_r1/*,owned by other r3 roles / out of residue scope per brief,LOW-MED — cross-role gap if another role skipped them
top10_comparison_r1/data/RT01..RT10.json (doc text alignment re-derived only for hashes not full text diff),full re-read is ~1M chars; audit relied on audit_lexical alignment_errors=0,LOW — silent export corruption would break all downstream arms
bench3/runs/b3a_realtalk/rt_repr/*.pkl + raw chats (upstream caches; trusted as ground truth),upstream of project; re-validating 8944-message bindings out of time budget,MED — cache bug would invalidate every arm equally
/mnt/c/Users/MDP/dev/llmzip-work/_wt_top10/ (worktree copies; never listed),brief forbids writes there and time bounded to top10_comparison_r1,HIGH-unknown — UNVERIFIED whether worktree diverges from main tree
audit_hard_r1/ + audit_hard_r2/ texts (rounds 1-2 corpora; not re-read),read-only + assumed summarized correctly by brief; spot-checks only,LOW-MED — a missed prior finding could duplicate or contradict
top10_comparison_r1/coordinator/encode_fast.py + ladder.py + repr_*.py + rerank_ceiling.py + why_bm25_wins.py + cost_audit.py + t3_perltqa_kltn.py + decision_tests.py (other roles' scope),residue role owned only the 6 named diagnostics; these were read only as log outputs not code,LOW-MED — logic bugs there belong to sibling roles
top10_comparison_r1/model/model.safetensors (2.38 GB weights; hash-checked only),cannot re-verify 2.38 GB numerics in <15 min probes; MODEL_DOWNLOAD.json sha recorded,LOW — weight tampering would show as fidelity-gate failure (gate passed in ladder2)
top10_comparison_r1/pq/RT*_codes.npz + centroids.npy (re-read only as summary stats via pq.log),byte-level re-read done by pq worker's own 9-test suite; residue role rechecked means only,LOW
incoming_20260916/ package (external claim source for verify_incoming),outside top10_comparison_r1 tree; only its quoted numbers checked via verify_incoming.json,MED — qsign_dstd mismatch root cause (spec vs formula) not isolated
