item_id,area,source,status,method,result
F1-CONTRACT-C1-C10,F1 E1 contract,689298e:research_f1_execution_2026_09_14/agent_packages/research_e1_f1_repair_2026_09_14/CONTRACT_CHECKLIST.md,REVIEWED,read full text via git show; cross-checked C3/C7 numbers against f1_competition.py HEADLINE_GATES,C1 BLOCKED (tarballs absent); C3 gate defined at 1e-12; C7 full-precision targets recorded
F1-IMPL-ENTRYPOINTS,F1 metric code,originals/f1_competition.py:37/52/67/86/140/155/173/196/222/236,REVIEWED+TESTED,read all 278 lines; exercised via FX1/FX1b/FX1c/FX5 fixtures,all fixture asserts PASS
F1-VERIFY27,27 oracle checks,originals/verify_f1.py,SAMPLED,did not rerun full file; ran equivalent hand fixture FX1 (same C/qC/k=2 oracle) PASS; theorem spot-check 20 trials PASS
F1-COORD-ALL3,superseded ALL@3 run,originals/coord_f1_real_fr3.py + f1_real/results.json + ERRATA_COORDINATOR.md,REVIEWED,read script + log; confirmed superseded by FR@3 with disclosed E1/E2 errors and F-6 correction (E1 effect +0.000000pp)
F1-COORD-FR3,corrected FR@3 run,originals/coord_f1_real_fr3.py + local_f1_real_fr3_results.json,REVIEWED+TESTED,read full 149 lines; verified output equality with branch evidence (FX6 PASS); applied C3 gate at 1e-12 (FX5: 3/3 FAIL + LoCoMo missing)
F1-FROZEN-REPL,frozen metric replication,originals/coord_frozen_repl.py + coord_frozen_replication.json,REVIEWED,read script + JSON; deltas LME +10.0538/PerLTQA -6.2747/REALTALK +5.3001 vs frozen refs recorded
F1-RESULTS-EQ,local vs branch equality,f1_real_fr3/results.json vs evidence/f1_results_fr3.json,REVIEWED (explicit verification),byte-compare via json canonical equality + sha256 match c4682230 PASS (FX6)
F1-PREREG-DRAFT,governing estimands,originals/TASK4F1_PREREGISTRATION_DRAFT_2026-09-03.md:106/114/123-146/190/233-241,REVIEWED,read full draft; extracted D_t definition / 5 Haar seeds / strata / exact-rational rule / stop rule
F1-SEAL-V3,governing seal,originals/SEAL_V3.json + HEAD docs/v52/task4f1/*,REVIEWED,read seal bindings 1-8; seal states NO run authorization / outcome FORBIDDEN; runner hash f96cba2c bound
F1-RUNNER-PROTOCOL,BEAM decoder/protocol,originals/v52_t4f1_beam_retrieval.py:38-39/55-62/76/461/503/528/535/542/555/570/577/615/628,REVIEWED,read decoder path TF-IDF->SVD32->mixed96->center->sign; Hamming + frozen tie priority; Haar/ITQ arms; trial-row .17g; no run executed
F1-T4F1-AUDITS,v3-v7 execution audits,origin/audit/v52-t4f1-v*-independent-* + START_HERE_V52_4F1.md,SAMPLED,read v7 commit msg + START_HERE verdict table (V2-V6 BLOCKED; V4 seal withdrawn CC-01; V7 gates 2-7 evidence); full gate tables NOT RUN
F1-PRIOR-COVERAGE,prior audit scope,audit_hard_r1/repro/HARD_AUDIT_REPRO.md:30-31 + integrity/PROJECT_COVERAGE.csv:6/12,REVIEWED,confirmed F1 internals explicitly NOT REVIEWED in R1; this role fills gap (partial: see NOT RUN rows)
F1-TIE-EXACT-VS-NT20,tie estimator fidelity,contract C3 + AUDIT_RESPONSE.md + FX2,TESTED,synthetic tied case: exact E[FR@3]=0.5 vs NT=20 batch spread 0.275; auditor seed spread 2.7e-03 >> residual 1.58e-04; 1e-12 gate unmeetable by either estimator
F1-ROUNDING-VS-TOL,precision requirement,contract C7 + coord AUD dict + FX4,TESTED,max 4dp-rounding error 4.6e-05 exceeds 1e-12 by ~8 orders; coord diffs larger (estimator substitution)
F1-BUDGET-MATCH,matched 12B budget,prereg draft:106 + runner:55-58 + FX3,CHECKED,Task4F1 D_t 12B-vs-12B matched; E1 F1 Delta_q 12B vs 384-768B float UNMATCHED 32-64x (structural arithmetic)
F1-DOT17G,trial-row precision,runner:577-613 (format .17g) + FX7,TESTED,round-trip loss 0.0 (<1e-15); exact-rational classification must parse decimal
F1-FROZEN-LABELS,claims labelled frozen,branch README:27 + coord script:118 + results.json frozen_* fields,REVIEWED,labels are coordinator shorthand for auditor-recorded refs; NO seal/independent approval; contract C1/C3 unmet so NOT licensed as frozen-V2 values
F1-LOCOMO-LEG,LoCoMo benchmark,contract C3/C7 + local results note,NOT RUN,per-query float surface absent; local JSON notes LoCoMo not run; branch evidence likewise absent
F1-BEAM-RUN,Task4F1 BEAM execution,START_HERE boundary + Seal V3 what_this_seal_does_not_do,NOT RUN,run/finalize FORBIDDEN without fresh V4 authorization + HMAC key; no authorization constructed; correctly not attempted
F1-CLUSTER-BOOTSTRAP-C8,contract bootstrap,contract C8 (seed 96013/B=2000/cluster) + f1_competition.py:236,NOT RUN on real data,implementation reviewed; real-data intervals not generated (blocked on C1); branch synthetic demo only
F1-QUERY-ROWS-FILE,original per-query refs,contract C7/F-1 (INDEPENDENT_QUERY_ROWS.json),NOT REVIEWED,unpublished; absent from every readable branch per AUDIT_RESPONSE; Delta_q recomputed not reused
F1-BRANCH-SESSIONS,scale/role/levels + whitening sessions,branch research_f1_execution_2026_09_14/{RESEARCH_SUMMARY/SESSIONS_ARCHIVE/WHITENING_FINDING},SAMPLED,read RESEARCH_SUMMARY + README + AUDIT_RESPONSE fully; session-level analyses sampled not re-verified
F1-WT-F1EXEC,worktree state,_wt_f1exec/ listing,SAMPLED,listed top-level only; full 2879-file tree not walked
F1-ENV-LOCK,locked execution env,runner:ENVIRONMENT_LOCK + THREAD_LOCK,NOT RUN,local ml-python is numpy 2.5.3/scipy 1.18.1/sklearn 1.9.1 vs lock 2.3.2/1.16.1/1.7.1; BEAM gates require lock so not attempted; numeric fixtures env-independent
