"tier","ability","eligible_questions"
"100K","contradiction_resolution","40"
"100K","event_ordering","40"
"100K","information_extraction","40"
"100K","instruction_following","40"
"100K","knowledge_update","40"
"100K","multi_session_reasoning","40"
"100K","preference_following","39"
"100K","summarization","36"
"100K","temporal_reasoning","40"
"10M","contradiction_resolution","20"
"10M","event_ordering","19"
"10M","information_extraction","20"
"10M","instruction_following","20"
"10M","knowledge_update","20"
"10M","multi_session_reasoning","20"
"10M","preference_following","20"
"10M","summarization","16"
"10M","temporal_reasoning","20"
"1M","contradiction_resolution","62"
"1M","event_ordering","62"
"1M","information_extraction","62"
"1M","instruction_following","62"
"1M","knowledge_update","62"
"1M","multi_session_reasoning","62"
"1M","preference_following","61"
"1M","summarization","58"
"1M","temporal_reasoning","62"
"500K","contradiction_resolution","70"
"500K","event_ordering","70"
"500K","information_extraction","70"
"500K","instruction_following","70"
"500K","knowledge_update","69"
"500K","multi_session_reasoning","70"
"500K","preference_following","70"
"500K","summarization","70"
"500K","temporal_reasoning","70"
