tier,conversation_id,chat_path,chat_bytes,chat_sha256,question_path,question_bytes,question_sha256,raw_message_units,user_messages,assistant_messages,other_role_messages,unique_local_message_ids,duplicate_local_message_id_values,malformed_message_ids,malformed_message_texts,probing_questions
100K,1,chats/100K/1/chat.json,564977,ea71efd5dcc13f7366d3737b45d532eadb3d1497f3d6f23d1fa1c4004d5ffdf2,chats/100K/1/probing_questions/probing_questions.json,31547,047398ff1497674b11585e7b4829c3d64d2d5e63f7f3572c826b73ca1faaf898,188,94,94,0,188,0,0,0,20
100K,2,chats/100K/2/chat.json,535114,3a3bd796f4aa24e8f34e718dc2823ae942663349eb89054f03885051e2daf1c4,chats/100K/2/probing_questions/probing_questions.json,29546,d188e929644c9ef9fcd4520e7b5a3daf2c2e069b1247a324bd13d5aadd1ed96e,200,100,100,0,200,0,0,0,20
100K,3,chats/100K/3/chat.json,552331,432d3ae5493c04a17a5b6b0ef7c012a70e70ac5cfcaef13059fca6bedb903009,chats/100K/3/probing_questions/probing_questions.json,32522,f53030f3753b0e0a93b330bc62d597cb66375c0c794094d7e69b7646df46e324,194,97,97,0,194,0,0,0,20
100K,4,chats/100K/4/chat.json,720144,e0ef0f74b1f7ac911e8e0518722335c422cbc1112048e9909911b208c51fc027,chats/100K/4/probing_questions/probing_questions.json,34657,f69eda522cd7325830c8f78b6f02a571c992b6cf43311fa96f28043fd3c18dae,212,106,106,0,212,0,0,0,20
100K,5,chats/100K/5/chat.json,472696,13ac88e483e0d63d3830479fe17f961af1b414503b5077914865eca1c48a1ce8,chats/100K/5/probing_questions/probing_questions.json,29882,bdd0819a911e46951dbf998905b8eba96a0cdb103cd3dda79ae9c6831e5f195d,238,119,119,0,238,0,0,0,20
100K,6,chats/100K/6/chat.json,635112,5365cdc41da212fb7143cf9f191ff7862eed8e9ca175b3728fe593adedc87871,chats/100K/6/probing_questions/probing_questions.json,34228,7a6f88dfdeb3f1b582209a745e7c980158dbb2829a9ceae6cdb08bb868a00035,258,129,129,0,258,0,0,0,20
100K,7,chats/100K/7/chat.json,616803,525271b1d24179dbc2deb664c69db0bbaead5938630a0b0d5cd2881b8b79224d,chats/100K/7/probing_questions/probing_questions.json,32366,2c00219e839d54c7cd3e4fbb396f8a2517fd9f143d3a3b8ea1c4fb9f5c4435c7,260,130,130,0,260,0,0,0,20
100K,8,chats/100K/8/chat.json,570827,3207b8f5aa45cd1b2d1e2f37f224831b4696d0cc2352ef514af08f2092b6c239,chats/100K/8/probing_questions/probing_questions.json,30609,d279dbd8fd293692d29f0057b3dd2468ccb97c7da6df28ae2adc8481d9970148,268,134,134,0,268,0,0,0,20
100K,9,chats/100K/9/chat.json,630826,446777f3eed114c27d62030ad86cfb8ad6610fda0fc83dfe98403b8d68b74bd4,chats/100K/9/probing_questions/probing_questions.json,32766,b7ab1c7022c0b7ac6928f4c2efadd08e2a438dc91e1288209df066cdcd5e9573,270,135,135,0,270,0,0,0,20
100K,10,chats/100K/10/chat.json,722161,de18b7b0ad73491f338296b64ae30f16b94d77404420d971d3f6b513d190ad1c,chats/100K/10/probing_questions/probing_questions.json,32129,e9bf9bb545b350425a770ef65b501434ba9983c7535b4524dd6ae4d5743b5a95,344,172,172,0,344,0,0,0,20
100K,11,chats/100K/11/chat.json,966917,45cb4fab51042278e6a57f524fca4cd4b8941cbbd091f9ec8fb92dad4de31b12,chats/100K/11/probing_questions/probing_questions.json,33044,3aa98a74a03be59472834422dd14004d3b432a0c800bbef8f316865834449c08,388,194,194,0,388,0,0,0,20
100K,12,chats/100K/12/chat.json,964208,2654160ebfcbd8a9f7d47a0340503cb301b0f54cb472f93578fa20e78c84c430,chats/100K/12/probing_questions/probing_questions.json,33666,c36c9b1d4df0d063d1c7db81b35b5ea4743e38a804382d6e557f37ec46e1d6e3,392,196,196,0,392,0,0,0,20
100K,13,chats/100K/13/chat.json,568613,aea586c143dab53cb5a021b3fab23380d5d9628fea1c4b718f91411019166dc6,chats/100K/13/probing_questions/probing_questions.json,32094,02dee0ba1d5576aed8ac535328a23fe4f882f6dcff3b96e039162e10d547236b,310,155,155,0,310,0,0,0,20
100K,14,chats/100K/14/chat.json,492497,43fbffd9ca235a980203faf4c5d6f636e97af4f31f6d91d9cbe42035ab4f0b0d,chats/100K/14/probing_questions/probing_questions.json,30180,f30350303b4ccd52a36deaf57750a2bf6924fa5885da92d8230797a82dcfbe5f,268,134,134,0,268,0,0,0,20
100K,15,chats/100K/15/chat.json,476327,e758dfbdfe6d5a6bd060c6577e6f0282eb445fd7f93150208dcd56e8f8676f43,chats/100K/15/probing_questions/probing_questions.json,28314,6d6ed59bd8cad87ce279c08f42137c2199502d09f198cfa880ef3ab04debd891,272,136,136,0,272,0,0,0,20
100K,16,chats/100K/16/chat.json,663564,414f11e16156d490cfb8449db62bddae88308e5b37fa79df54b147637f059afd,chats/100K/16/probing_questions/probing_questions.json,30613,abf20d16a37322112af0fe48f5c43be0d824d54ae2bb2c5e3e069c6e84c54033,322,161,161,0,322,0,0,0,20
