line,refs_or_commits,r1_status,r2_10_status,verdict,gaps
twelve-byte-pilot RealTalk ladder+T1 BM25,findings/top10-comparison-2026-09-15@e672192,EXAMINED-sampled(2/10 fresh + full reagg; 101 rows in-scope),SAMPLED (read FINAL_STATE gates + T1 claims; no recompute),REPRODUCED-WITH-LIMITS,"fresh SVD 2/10 archives only; rest re-aggregation; NOT PREREGISTERED"
T2 rerank dissolution (164256 rows),findings/top10-comparison-2026-09-15@e672192,EXAMINED(42 rows EXACT/CLOSE),SAMPLED (read 8bcdef5 msg + T2 section; no recompute),REPRODUCED-WITH-LIMITS,"LoCoMo gold disputed; _rrf60 contrasts NOT RUN in r1"
T3 PerLTQA k<n rebuild,findings/top10-comparison-2026-09-15@e672192,EXAMINED(8/8 fresh EXACT),SAMPLED (read T3 section + producer-mismatch note),DATA-STANDS PRODUCER-MISMATCHED,"committed coordinator/t3_perltqa_kltn.py cannot produce T3_PERLTQA_KLTN.json (4 schema/call mismatches)"
metric/tie/bootstrap contracts,top10_comparison_r1/audit/audit_baseline_lib.py:79-83; ladder.py:134-142,EXAMINED(T0 read),REVIEWED (read-only confirm of TIE_SALT + det_top10 + gate code lines 190-191),CONTRACT-CONFIRMED,"claims worker used different tie rule (stable index sort); levels differ ~0.29pp spread"
ITQ-vs-random rotation,claims/au_c1_itq.py:29+41+85+91; HARD_AUDIT_CLAIMS.md:27-50,SAMPLED(changed ties; ITQ fit once),VERIFIED-FROM-FILES (single fit_itq call; 7 RAND seeds; wording line 50),OVERCLAIM-WORDING-CONFIRMED,"'7 pre-registered-fresh seeds': RAND not ITQ inits; contradicts NOT PREREGISTERED labels"
size/rotation/balance laws,HARD_AUDIT_CLAIMS.md:65-79,SAMPLED(Hit@10-only; seed/aggregation discrepancies preserved),NOT RE-RUN (read-only; r2-02 owns recompute),DIRECTION-PRESERVED-WITH-CAVEATS,"r law Hit@10-only; FR@3 weaker; Pearson -0.80 vs -0.78 aggregation diff"
sigma/sign-float mechanism,research_twelve_byte_pilot_2026_09_15; hr/standardized-float-correction@7501991,SAMPLED(T3 sym -5.17pp vs qscale -3.60pp),REVIEWED (L-097 body on main 59b891e; 9993f95 matched numbers),HEADLINE-CORRECTED,"float_std ceiling 768B not byte-competitor; PerLTQA en_v1/zh raw-float-wins narrowing"
BM25 comparator fairness,decision_tests.py:112-152; ladder.py:63-109,SAMPLED(best-of-4 bias noted; textbook 61.70 vs coarse 55.32),REVIEWED (gate code any() defect confirmed at lines 190-191),GATE-DEFECT-CONFIRMED,"C1 impl checks point-estimate any-arm max only; CI+both-benchmarks absent; verdict FAIL unaffected (point estimates fail)"
STOP gates timing,decision_r1/cost/REFEREE.md; coordinator/decision_tests.py (both first-commit 8bcdef5),NOT REVIEWED in r1,REVIEWED (git log: REFEREE.md + decision_tests.py first appear in same commit 8bcdef5 2026-09-16),GATES-SAME-COMMIT-NOT-PRECOMMIT,"FINAL_STATE 'written down before deciding tests ran' unproven by commit history; joint commit does not establish pre-registration"
STOP authority,hr/twelve-byte-budget-decision@89d3169; main@59b891e; L-096@907750f; L-097,PARTIAL (r1 integrity SAMPLED-ONLY governance),REVIEWED (HR doc tails; merge-base: e672192/9993f95 NOT in main),NO-HR-AUTHORITY-FOR-PILOT-STOP,"pilot STOP is coordinator verdict on unmerged findings branch; HR budget decision authorizes no execution/pilot; L-097 records framing only; L-096 grants no verdict"
NOT PREREGISTERED labels,REPORT.md:1; PROTOCOL.md:1; FINAL_STATE.md:1; REFEREE.md:1; decision_tests.py:res-label,NOTED,REVIEWED (all four files + decision code carry label at head),LABELS-PRESENT-AND-CONSISTENT,"no prereg document found; mtimes disclaimed as proof"
stale contradictions,FINAL_STATE.md@e672192 vs postcheck 8f7beaa/9993f95,FLAGGED (finding 8: no supersession banner),VERIFIED-STILL-TRUE (postcheck append-only; FINAL_STATE untouched at tip),STALE-FINAL_STATE-CONFIRMED,"fact-3 sigma mechanism + 5-retraction list stale; supersession lives only in postcheck commit bodies"
novelty (six genuinely-ours),FINAL_STATE.md 'What is genuinely ours' (6 items); lit_r2 maps; top10_literature_20260915/sources,FLAGGED (finding 10: absence != novelty),SAMPLED-ONLY (map files listed; no primary source opened),NOT VERIFIED,"no primary-source verification performed; literature conclusions require local primary sources"
prereg draft lineage,draft/v52-twelve-byte-baseline-prereg-2026-09-10@d2cfbaa; codex/twelve-byte-prereg-revision@a73393a,NOT REVIEWED,NOT REVIEWED (name + L-092 unapproved-draft note only),NOT REVIEWED,"pre-registration lineage unaudited"
F1 execution line,findings/f1-execution-2026-09-14@ccedd56,SAMPLED-ONLY (manifest; count self-corrections unverified),NOT REVIEWED (r2-05 owns),NOT REVIEWED,"archive-count corrections 40c49b4/490716c superseded; decoder/protocol unexamined"
dense-MRL/residual/alternate reps,findings/dense-mrl-parity-2026-09-14@36c7bf0; bench/sign96-*; residual8_pilot_r1,NOT REVIEWED,NOT REVIEWED (r2-06 owns),NOT REVIEWED,"TF-IDF/SVD STOP cannot logically dispose these lines"
KV/inverse-memory,chat_literature_review_20260915; parallel_ideas_r1,NOT REVIEWED,NOT REVIEWED (r2-07 owns; paths listed only),NOT REVIEWED,"JVP/NLL/cache-consumption evidence unexamined"
static-storage/rank/membership contracts,findings/static-*-v10; rank-cert-repair@dbb3ee0; governance-repair@8ed1351,NOT REVIEWED,NOT REVIEWED (r2-08 owns),NOT REVIEWED,"V8/V9/V10 + 12+ branches + 4 independent audits unexamined"
E1/geometry older theory,research/e1-* refs; representation_geometry_fix; theory_benchmark_test_v1,NOT REVIEWED,NOT REVIEWED (r2-03 owns),NOT REVIEWED,"10 E1 branches + 2 independent audits (one REQUEST_CHANGES) unexamined"
v52-task4f1-era (~40 refs v2..v7 + audits),impl/v52-t4f1-*; audit/v52-t4f1-*; state/*SEALED*,NOT REVIEWED,NOT REVIEWED (bulk listed only),NOT REVIEWED,"sealed/frozen bytes untouched per read-only rule"
remote-tracking ~147 refs + agents/* + weights/caches,refs/remotes/* (147); model/ 2.4GB; ARCHIVE_CACHE.jsonl,COUNT-ONLY/NOT RUN,COUNT-ONLY (182 total refs verified; no fetch; weights NOT RUN),NOT REVIEWED,"no fetch per read-only rule; LME ablation liveness unestablished"
audit4-postcheck branch,findings/audit4-postcheck-2026-09-17@9993f95 (commits 8f7beaa + 9993f95),NOT REVIEWED (live branch at r1 time),REVIEWED-commit-bodies (4 retractions + matched RealTalk table read; numeric re-verify NOT RUN),BODIES-REVIEWED-NUMBERS-NOT-RERUN,"matched-protocol RealTalk sym 46.68 vs float_std 48.51 ns NOT independently recomputed here; r2-01 owns"
