question_id,question_type,N_archive,gold_count,reuse_count,reuse_tertile,archive_quartile,gold_stratum,float96_uncentered_any_r3,float96_uncentered_all_r3,float96_uncentered_fractional_r3,float96_centered_any_r3,float96_centered_all_r3,float96_centered_fractional_r3,sign96_centered_any_r3,sign96_centered_all_r3,sign96_centered_fractional_r3,itq96_centered_any_r3,itq96_centered_all_r3,itq96_centered_fractional_r3,sign_minus_centered_float_fractional_pp,centered_minus_uncentered_float_fractional_pp
001be529,single-session-user,514,1,14,low,Q4,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04,0.04,0.04,0.0,0.0
00ca467f,multi-session,486,2,14,low,Q2,multi-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68,0.4,0.54,0.0,0.0
0100672e,multi-session,486,2,16,medium,Q2,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0
01493427,knowledge-update,487,2,14,low,Q2,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8,0.0,0.4,100.0,0.0
031748ae,knowledge-update,494,2,17,medium,Q3,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0
06878be2,single-session-preference,443,3,16,medium,Q1,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06db6396,knowledge-update,479,2,6,low,Q2,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,50.0,0.0
06f04340,single-session-preference,503,1,24,high,Q3,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07741c44,knowledge-update,513,2,20,high,Q4,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.305,0.0,0.0
07741c45,knowledge-update,527,2,22,high,Q4,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.04,0.52,0.0,0.0
078150f1,multi-session,551,3,16,medium,Q4,multi-gold,1.0,0.0,0.33333333333333326,1.0,0.0,0.33333333333333326,1.0,0.5,0.8333333333333333,0.8,0.0,0.33333333333333326,50.0,0.0
07b6f563,single-session-preference,524,2,22,high,Q4,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,50.0,0.0
0862e8bf,single-session-user,490,1,17,medium,Q2,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.81,0.81,0.81,-100.0,0.0
08e075c7,knowledge-update,484,2,19,high,Q2,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,50.0,0.0
08f4fc43,temporal-reasoning,480,2,15,low,Q2,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.07,0.535,0.0,0.0
0977f2af,knowledge-update,484,2,13,low,Q2,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.11,0.0,0.055,50.0,0.0
099778bb,multi-session,466,2,20,high,Q1,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09ba9854,multi-session,479,2,10,low,Q2,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.35,0.675,0.2,0.0,0.1,17.500000000000004,0.0
09d032c9,single-session-preference,481,1,13,low,Q2,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0a34ad58,single-session-preference,485,2,15,low,Q2,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0a995998,multi-session,484,3,11,low,Q2,multi-gold,1.0,0.0,0.33333333333333326,1.0,0.0,0.33333333333333326,1.0,0.0,0.33333333333333326,0.8,0.0,0.26666666666666666,0.0,0.0
0bb5a684,temporal-reasoning,463,2,16,medium,Q1,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0
0bc8ad92,temporal-reasoning,443,3,16,medium,Q1,multi-gold,1.0,0.0,0.33333333333333326,1.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.3,0.0,0.1,-33.33333333333333,0.0
0bc8ad93,temporal-reasoning,486,1,22,high,Q2,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0db4c65d,temporal-reasoning,462,2,14,low,Q1,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,0.86,0.27,0.565,50.0,0.0
0ddfec37,knowledge-update,483,2,19,high,Q2,multi-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.6,0.0,0.0
0e4e4c46,knowledge-update,481,2,17,medium,Q2,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.4,0.0,0.2,0.0,0.0
0e5e2d1a,single-session-assistant,450,1,12,low,Q1,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.86,0.86,0.86,0.0,0.0
0ea62687,multi-session,460,2,9,low,Q1,multi-gold,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.2,0.6,50.0,-50.0
0edc2aef,single-session-preference,475,1,16,medium,Q2,one-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0f05491a,knowledge-update,489,2,13,low,Q2,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.8,0.0,0.4,50.0,0.0
10d9b85a,multi-session,466,2,11,low,Q1,multi-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10e09553,knowledge-update,472,2,15,low,Q1,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.64,0.0,0.32,0.0,0.0
118b2229,single-session-user,485,1,19,high,Q2,one-gold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1192316e,multi-session,467,2,16,medium,Q1,multi-gold,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,0.78,0.0,0.39,0.0,0.0
