audit_question_id,tier,conversation_id,ability,category,source_shape,source_chat_ids_json,conversation_reference_json,conversation_references_json,ambiguous_source_ids,all_ambiguous_occurrences_text_identical,source_parse_error,public_annotation_keys
100K::9::preference_following::2,100K,9,preference_following,SOURCE_AMBIGUOUS_OR_MISSING,LIST,[],null,null,[],False,,"[""compliance_indicators"", ""difficulty"", ""expected_compliance"", ""non_compliance_signs"", ""preference_being_tested"", ""preference_type"", ""question"", ""rubric"", ""source_chat_ids""]"
100K::18::summarization::1,100K,18,summarization,SOURCE_AMBIGUOUS_OR_MISSING,LIST,[],null,null,[],False,,"[""bullet_points_covered"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""question"", ""rubric"", ""source_chat_ids"", ""summarization_type"", ""synthesis_required""]"
100K::18::summarization::2,100K,18,summarization,SOURCE_AMBIGUOUS_OR_MISSING,LIST,[],null,null,[],False,,"[""bullet_points_covered"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""question"", ""rubric"", ""source_chat_ids"", ""summarization_type"", ""synthesis_required""]"
100K::20::summarization::1,100K,20,summarization,SOURCE_AMBIGUOUS_OR_MISSING,LIST,[],null,null,[],False,,"[""bullet_points_covered"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""question"", ""rubric"", ""source_chat_ids"", ""summarization_type"", ""synthesis_required""]"
100K::20::summarization::2,100K,20,summarization,SOURCE_AMBIGUOUS_OR_MISSING,LIST,[],null,null,[],False,,"[""bullet_points_covered"", ""difficulty"", ""ideal_summary"", ""key_elements_tested"", ""question"", ""rubric"", ""source_chat_ids"", ""summarization_type"", ""synthesis_required""]"
500K::1::knowledge_update::1,500K,1,knowledge_update,COARSE_SOURCE,ABSENT,null,null,"[""Secured Redis with ACL rules allowing only authenticated Node.js app IPs to connect."", ""Redis memory usage has now reached 200MB with 15,000 keys after scaling up concurrent users.""]",[],False,,"[""answer"", ""conversation_references"", ""difficulty"", ""potential_confusion"", ""question"", ""rubric"", ""tests_retention_of"", ""update_type""]"
1M::3::preference_following::2,1M,3,preference_following,SOURCE_AMBIGUOUS_OR_MISSING,LIST,[],null,null,[],False,,"[""compliance_indicators"", ""difficulty"", ""expected_compliance"", ""non_compliance_signs"", ""preference_being_tested"", ""preference_type"", ""question"", ""rubric"", ""source_chat_ids""]"
1M::5::event_ordering::1,1M,5,event_ordering,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[48, 50, 56, 58, 60, 64, 66, 68, 182, 192, 194, 556, 562, 564, 568, 550, 756, 762, 954, 944, 946, 950, 956, 372, 374, 376, 366, 1120, 1126, 550, 1292, 1294, 1298]",null,"[""chat_id: 48, 56, 50, 58, 60, 64, 66, 68"", ""chat_id: 182, 192, 194"", ""chat_id: 556, 562, 564, 568, 550"", ""chat_id: 756, 762, 954"", ""chat_id: 944, 946, 950, 956"", ""chat_id: 372, 374, 376"", ""chat_id: 366"", ""chat_id: 1120, 1126"", ""chat_id: 550"", ""chat_id: 1292, 1294, 1298""]","[48, 50, 56, 58, 60, 64, 66, 68]",False,,"[""answer"", ""complexity_factors"", ""conversation_references"", ""difficulty"", ""ordering_tested"", ""ordering_type"", ""question"", ""rubric"", ""source_chat_ids"", ""total_mentions""]"
1M::5::event_ordering::2,1M,5,event_ordering,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[6, 8, 10, 196, 202, 352, 360, 362, 560, 754, 760, 952, 958, 960, 962]",null,"[""chat_id: 6, 8, 10"", ""chat_id: 196, 202"", ""chat_id: 352, 360, 362"", ""chat_id: 560"", ""chat_id: 754, 760"", ""chat_id: 952, 958, 960, 962""]","[6, 8, 10]",False,,"[""answer"", ""complexity_factors"", ""conversation_references"", ""difficulty"", ""ordering_tested"", ""ordering_type"", ""question"", ""rubric"", ""source_chat_ids"", ""total_mentions""]"
1M::5::information_extraction::1,1M,5,information_extraction,SOURCE_AMBIGUOUS_OR_MISSING,LIST,[22],"""Turn 1: Initial user message specifying endpoint prefix""",null,[22],False,,"[""answer"", ""conversation_reference"", ""difficulty"", ""key_facts_tested"", ""question"", ""question_type"", ""rubric"", ""source_chat_ids""]"
1M::5::multi_session_reasoning::1,1M,5,multi_session_reasoning,SOURCE_AMBIGUOUS_OR_MISSING,LIST,"[32, 214, 224]",null,"[""chat_id: 32"", ""chat_id: 214"", ""chat_id: 224""]",[32],False,,"[""answer"", ""conversation_references"", ""difficulty"", ""question"", ""reasoning_steps"", ""reasoning_type"", ""rubric"", ""sessions_required"", ""source_chat_ids""]"
