audit_question_id,tier,conversation_id,ability,category,source_shape,source_field_present,conversation_reference_present,conversation_references_present,raw_source_ref_count,unique_source_id_count,matched_source_id_count,unmatched_source_id_count,ambiguous_source_id_count,duplicate_source_ref_id_count,source_parse_error
100K::1::abstention::1,100K,1,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,ABSENT,False,False,False,0,0,0,0,0,0,
100K::1::abstention::2,100K,1,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,ABSENT,False,False,False,0,0,0,0,0,0,
100K::1::contradiction_resolution::1,100K,1,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,
100K::1::contradiction_resolution::2,100K,1,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,1,1,0,0,1,
100K::1::event_ordering::1,100K,1,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,3,3,3,0,0,0,
100K::1::event_ordering::2,100K,1,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,5,4,4,0,0,1,
100K::1::information_extraction::1,100K,1,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,1,1,1,0,0,0,
100K::1::information_extraction::2,100K,1,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,2,2,2,0,0,0,
100K::1::instruction_following::1,100K,1,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,2,2,2,0,0,0,
100K::1::instruction_following::2,100K,1,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,
100K::1::knowledge_update::1,100K,1,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,
100K::1::knowledge_update::2,100K,1,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,
100K::1::multi_session_reasoning::1,100K,1,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,3,3,3,0,0,0,
100K::1::multi_session_reasoning::2,100K,1,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,3,3,3,0,0,0,
100K::1::preference_following::1,100K,1,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,
100K::1::preference_following::2,100K,1,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,
100K::1::summarization::1,100K,1,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,10,10,10,0,0,0,
100K::1::summarization::2,100K,1,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,11,11,11,0,0,0,
100K::1::temporal_reasoning::1,100K,1,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,
100K::1::temporal_reasoning::2,100K,1,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,
100K::2::abstention::1,100K,2,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,ABSENT,False,False,False,0,0,0,0,0,0,
100K::2::abstention::2,100K,2,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,ABSENT,False,False,False,0,0,0,0,0,0,
100K::2::contradiction_resolution::1,100K,2,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,4,4,4,0,0,0,
100K::2::contradiction_resolution::2,100K,2,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,
100K::2::event_ordering::1,100K,2,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,5,5,5,0,0,0,
100K::2::event_ordering::2,100K,2,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,2,2,2,0,0,0,
100K::2::information_extraction::1,100K,2,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,1,1,1,0,0,0,
100K::2::information_extraction::2,100K,2,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,3,3,3,0,0,0,
100K::2::instruction_following::1,100K,2,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,
100K::2::instruction_following::2,100K,2,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,
100K::2::knowledge_update::1,100K,2,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,
100K::2::knowledge_update::2,100K,2,knowledge_update,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,
100K::2::multi_session_reasoning::1,100K,2,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,5,5,5,0,0,0,
100K::2::multi_session_reasoning::2,100K,2,multi_session_reasoning,EXACT_SOURCE_IDS,LIST,True,False,True,2,2,2,0,0,0,
100K::2::preference_following::1,100K,2,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,
100K::2::preference_following::2,100K,2,preference_following,EXACT_SOURCE_IDS,LIST,True,False,False,2,2,2,0,0,0,
100K::2::summarization::1,100K,2,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,8,8,8,0,0,0,
100K::2::summarization::2,100K,2,summarization,EXACT_SOURCE_IDS,LIST,True,False,False,10,10,10,0,0,0,
100K::2::temporal_reasoning::1,100K,2,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,
100K::2::temporal_reasoning::2,100K,2,temporal_reasoning,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,
100K::3::abstention::1,100K,3,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,ABSENT,False,False,False,0,0,0,0,0,0,
100K::3::abstention::2,100K,3,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,ABSENT,False,False,False,0,0,0,0,0,0,
100K::3::contradiction_resolution::1,100K,3,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,
100K::3::contradiction_resolution::2,100K,3,contradiction_resolution,EXACT_SOURCE_IDS,DICT,True,False,True,2,2,2,0,0,0,
100K::3::event_ordering::1,100K,3,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,3,3,3,0,0,0,
100K::3::event_ordering::2,100K,3,event_ordering,EXACT_SOURCE_IDS,LIST,True,False,True,5,3,3,0,0,2,
100K::3::information_extraction::1,100K,3,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,1,1,1,0,0,0,
100K::3::information_extraction::2,100K,3,information_extraction,EXACT_SOURCE_IDS,LIST,True,True,False,2,2,2,0,0,0,
100K::3::instruction_following::1,100K,3,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,
100K::3::instruction_following::2,100K,3,instruction_following,EXACT_SOURCE_IDS,LIST,True,False,False,1,1,1,0,0,0,
