file,line,excerpt
ablation_r2/lme/ablation.py,45,from sklearn.decomposition import TruncatedSVD
ablation_r2/lme/ablation.py,46,from sklearn.feature_extraction.text import TfidfVectorizer
ablation_r2/lme/ablation.py,87,"wv = TfidfVectorizer(lowercase=True, ngram_range=(1, 2),"
ablation_r2/lme/ablation.py,89,"cv = TfidfVectorizer(analyzer=""char_wb"", ngram_range=(3, 5), sublinear_tf=True)"
ablation_r2/lme/ablation.py,90,Xw = normalize(wv.fit_transform(texts))
ablation_r2/lme/ablation.py,91,Xc = normalize(cv.fit_transform(texts))
ablation_r2/lme/ablation.py,95,"svd = TruncatedSVD(n_components=d, random_state=LSA_SEED)"
ablation_r2/lme/ablation.py,96,Xl = normalize(svd.fit_transform(Xw))
ablation_r2/lme/ablation.py,107,"s96 = TruncatedSVD(n_components=96, random_state=SVD_SEED)"
ablation_r2/lme/ablation.py,109,Y = normalize(s96.fit_transform(Z))
ablation_r2/lme/ablation.py,110,"mu = Y.mean(axis=0, keepdims=True)"
ablation_r2/lme/ablation.py,363,boots = d[boot_idx].mean(axis=1)
ablation_r2/perltqa/ablation.py,15,from sklearn.decomposition import TruncatedSVD
ablation_r2/perltqa/ablation.py,16,from sklearn.feature_extraction.text import TfidfVectorizer
ablation_r2/perltqa/ablation.py,140,"wv = TfidfVectorizer(lowercase=True, ngram_range=(1, 2), stop_words=""english"", sublinear_tf=True)"
ablation_r2/perltqa/ablation.py,141,"cv = TfidfVectorizer(analyzer=""char_wb"", ngram_range=(3, 5), sublinear_tf=True)"
ablation_r2/perltqa/ablation.py,142,Xw = normalize(wv.fit_transform(texts))
ablation_r2/perltqa/ablation.py,143,Xc = normalize(cv.fit_transform(texts))
ablation_r2/perltqa/ablation.py,145,"svd = TruncatedSVD(n_components=d, random_state=5101)"
ablation_r2/perltqa/ablation.py,146,Xl = normalize(svd.fit_transform(Xw))
ablation_r2/perltqa/ablation.py,163,"s96 = TruncatedSVD(n_components=96, random_state=5204)"
ablation_r2/perltqa/ablation.py,164,Y = normalize(s96.fit_transform(Z))
ablation_r2/perltqa/ablation.py,165,"mu = Y.mean(0, keepdims=True)"
ablation_r2/perltqa/fidelity_gate.py,18,from sklearn.decomposition import TruncatedSVD
ablation_r2/perltqa/fidelity_gate.py,19,from sklearn.feature_extraction.text import TfidfVectorizer
ablation_r2/perltqa/fidelity_gate.py,71,"wv = TfidfVectorizer(lowercase=True, ngram_range=(1, 2), stop_words=""english"", sublinear_tf=True)"
ablation_r2/perltqa/fidelity_gate.py,72,"cv = TfidfVectorizer(analyzer=""char_wb"", ngram_range=(3, 5), sublinear_tf=True)"
ablation_r2/perltqa/fidelity_gate.py,73,Xw = normalize(wv.fit_transform(texts))
