tier,ability,category,count
100K,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,40
100K,contradiction_resolution,EXACT_SOURCE_IDS,40
100K,event_ordering,EXACT_SOURCE_IDS,40
100K,information_extraction,EXACT_SOURCE_IDS,40
100K,instruction_following,EXACT_SOURCE_IDS,40
100K,knowledge_update,EXACT_SOURCE_IDS,40
100K,multi_session_reasoning,EXACT_SOURCE_IDS,40
100K,preference_following,EXACT_SOURCE_IDS,39
100K,preference_following,SOURCE_AMBIGUOUS_OR_MISSING,1
100K,summarization,EXACT_SOURCE_IDS,36
100K,summarization,SOURCE_AMBIGUOUS_OR_MISSING,4
100K,temporal_reasoning,EXACT_SOURCE_IDS,40
10M,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,20
10M,contradiction_resolution,EXACT_SOURCE_IDS,20
10M,event_ordering,EXACT_SOURCE_IDS,19
10M,event_ordering,MALFORMED_CONTRADICTORY,1
10M,information_extraction,EXACT_SOURCE_IDS,20
10M,instruction_following,EXACT_SOURCE_IDS,20
10M,knowledge_update,EXACT_SOURCE_IDS,20
10M,multi_session_reasoning,EXACT_SOURCE_IDS,20
10M,preference_following,EXACT_SOURCE_IDS,20
10M,summarization,EXACT_SOURCE_IDS,16
10M,summarization,SOURCE_AMBIGUOUS_OR_MISSING,4
10M,temporal_reasoning,EXACT_SOURCE_IDS,20
1M,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,70
1M,contradiction_resolution,EXACT_SOURCE_IDS,67
1M,contradiction_resolution,SOURCE_AMBIGUOUS_OR_MISSING,3
1M,event_ordering,EXACT_SOURCE_IDS,62
1M,event_ordering,SOURCE_AMBIGUOUS_OR_MISSING,8
1M,information_extraction,EXACT_SOURCE_IDS,64
1M,information_extraction,SOURCE_AMBIGUOUS_OR_MISSING,6
1M,instruction_following,EXACT_SOURCE_IDS,68
1M,instruction_following,SOURCE_AMBIGUOUS_OR_MISSING,2
1M,knowledge_update,EXACT_SOURCE_IDS,69
1M,knowledge_update,SOURCE_AMBIGUOUS_OR_MISSING,1
1M,multi_session_reasoning,EXACT_SOURCE_IDS,63
1M,multi_session_reasoning,SOURCE_AMBIGUOUS_OR_MISSING,7
1M,preference_following,EXACT_SOURCE_IDS,66
1M,preference_following,SOURCE_AMBIGUOUS_OR_MISSING,4
1M,summarization,EXACT_SOURCE_IDS,58
1M,summarization,SOURCE_AMBIGUOUS_OR_MISSING,12
1M,temporal_reasoning,EXACT_SOURCE_IDS,67
1M,temporal_reasoning,SOURCE_AMBIGUOUS_OR_MISSING,3
500K,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,70
500K,contradiction_resolution,EXACT_SOURCE_IDS,70
500K,event_ordering,EXACT_SOURCE_IDS,70
500K,information_extraction,EXACT_SOURCE_IDS,70
500K,instruction_following,EXACT_SOURCE_IDS,70
500K,knowledge_update,COARSE_SOURCE,1
500K,knowledge_update,EXACT_SOURCE_IDS,69
500K,multi_session_reasoning,EXACT_SOURCE_IDS,70
500K,preference_following,EXACT_SOURCE_IDS,70
500K,summarization,EXACT_SOURCE_IDS,70
500K,temporal_reasoning,EXACT_SOURCE_IDS,70
