priority,audit_value,file_role,feeds_published,could_contradict,path
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.85,report,0.69,0.78,theory_benchmark_test_v1/locomo/COORDINATOR_REVIEW.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.81,analysis_code,0.65,0.76,agent_out/f1-audit/decisive_delta_source.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.78,analysis_code,0.54,0.79,agent_out/axis-budget/coord_audit_check.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.75,report,0.69,0.65,hr-consolidation/audit_v52_t4f0_codex_2026_08_31/DEFECT_TABLE.csv
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.75,report,0.66,0.61,verify_ok/audit_v52_t4f0_codex_2026_08_31/DEFECT_TABLE.csv
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.67,report,0.68,0.64,verify_top10/audit_v52_t4f0_codex_2026_08_31/DEFECT_TABLE.csv
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.64,result_data,0.72,0.71,agent_out/f1-audit/evidence/gate_and_mutations.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.63,analysis_code,0.67,0.76,agent_out/coord-baseline/alpha_sections.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.58,report,0.6,0.72,theory_benchmark_test_v1/audit_locomo_provenance/COORDINATOR_REVIEW.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.57,analysis_code,0.76,0.64,agent_out/bot64-survivor/coord_correction.py
A3_UNVERIFIED_CLAIMS,2.54,report,0.6,0.51,math_discovery_2026_09_13/sign_mechanism/COORDINATOR_REVIEW.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.52,analysis_code,0.65,0.76,agent_out/coord-baseline/baseline_strength.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.52,analysis_code,0.56,0.72,agent_out/coord-baseline/lit_replication.py
A3_UNVERIFIED_CLAIMS,2.45,report,0.52,0.54,theory_benchmark_test_v1/audit_real_geometry/COORDINATOR_REVIEW.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.44,analysis_code,0.73,0.73,agent_out/coord-baseline/whitening_significance.py
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.44,report,0.5,0.64,math_discovery_2026_09_13/round3/all_n_ranking/COORDINATOR_REVIEW.md
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.39,report,0.72,0.77,reports/locomo_representation_provenance.md
A3_UNVERIFIED_CLAIMS,2.39,result_data,0.6,0.57,incoming_20260916/extracted/LLMZIP_DENETIM_INCELEMESI_2026-09-16/LLMZIP_DENETIM_INCELEMESI_2026-09-16/ndcg_exact_checks.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.35,log_or_scratch,0.33,0.72,residual8_pilot_r1/coordinator/ORACLE_INTEGRATION.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.35,result_data,0.7,0.64,verify_ok/audit_v52_t4f0_codex_2026_08_31/estimand_summary.json
A1_POSSIBLE_HIDDEN_CONTRADICTION,2.33,analysis_code,0.71,0.76,agent_out/coord-baseline/k_and_ties.py
A3_UNVERIFIED_CLAIMS,2.31,result_data,0.57,0.54,incoming_20260916b/extracted/LLMZIP_DENETIM_INCELEMESI_2026-09-16/LLMZIP_DENETIM_INCELEMESI_2026-09-16/ndcg_exact_checks.json
A3_UNVERIFIED_CLAIMS,2.31,report,0.45,0.48,theory_benchmark_test_v1/audit_mapping/COORDINATOR_REVIEW.md
