gate,check,result,evidence
G1,"recursive enumeration: exactly 9 files, no nesting, no __pycache__",PASS,evidence/gate1_gate2.json
G1,all six declared package anchors match recomputed SHA256,PASS,evidence/OUTCOME_BOUNDARY_TALLY.json
G1,inventory/seal/source-map bindings verified,PASS,evidence/gate1_gate2.json
G1,nested unbound file rejected in temporary copy,PASS,evidence/gate1_gate2.json
G1,real candidate byte-identical after all probing,PASS,evidence/OUTCOME_BOUNDARY_TALLY.json
G2,runner byte-identical across V4/V5/V6,PASS,evidence/gate1_gate2.json
G2,runner AST equal to V4 with docstrings stripped,PASS,evidence/gate1_gate2.json
G2,only executable delta is candidate_package_preflight.py,PASS,evidence/gate1_gate2.json
G2,runner never imports or references the checker,PASS,evidence/gate1_gate2.json
G2,no change to fitting/ranking/seeds/thresholds/metrics/aggregation/authorization,PASS,evidence/precond3_anchor_agreement.json
G3,3.1a novel 64-hex planted in README.md,PASS,evidence/probe_batch1.json
G3,3.1b novel 40-hex planted in EXECUTION_SPEC.md,PASS,evidence/probe_batch1.json
G3,3.1c novel v52_t4f identifier planted in README.md,PASS,evidence/probe_batch1.json
G3,3.1d novel 64-hex planted in a JSON value,PASS,evidence/probe_batch1.json
G3,3.1e novel 64-hex in a NEW file added to the closure,FAIL - EVASION SUCCEEDED,evidence/probe_batch1.json
G3,3.1f live cohort digest relocated to README.md (undeclared repetition),PASS,evidence/probe_batch1.json
G3,3.2a V5 escape: deprecated literal WRAPPED across two lines,PASS,evidence/probe_batch1.json
G3,3.2b V5 escape: deprecated literal in UPPERCASE,PASS,evidence/probe_batch1.json
G3,3.2c V5 escape combined: wrapped AND uppercase,PASS,evidence/probe_batch1.json
G3,3.2d live cohort digest wrapped+uppercase at a non-permitted path,PASS,evidence/probe_batch1.json
G3,A1 novel 64-hex preceded by a word ending in a hex char ('probe'),FAIL - EVASION SUCCEEDED,evidence/probe_batch2.json
G3,A2 novel 64-hex followed by a word starting with a hex char ('and'),FAIL - EVASION SUCCEEDED,evidence/probe_batch2.json
G3,"A3 LIVE cohort digest relocated to README.md, hidden by hex-adjacent prose",FAIL - EVASION SUCCEEDED,evidence/probe_batch2.json
G3,B1 deprecated literal split by a ZERO WIDTH SPACE,FAIL - EVASION SUCCEEDED,evidence/probe_batch2.json
G3,B2 deprecated literal with Cyrillic look-alike characters,PASS,evidence/probe_batch2.json
G3,B3 deprecated literal interleaved with HTML comment markup,FAIL - EVASION SUCCEEDED,evidence/probe_batch2.json
G3,B4 deprecated literal re-encoded as base64,FAIL - EVASION SUCCEEDED,evidence/probe_batch2.json
G3,B5 deprecated literal re-encoded as a decimal integer,FAIL - EVASION SUCCEEDED,evidence/probe_batch2.json
G3,B6 deprecated literal split across two JSON keys,FAIL - EVASION SUCCEEDED,evidence/probe_batch2.json
G3,B7 deprecated literal inside a bound but non-UTF-8 payload,FAIL - EVASION SUCCEEDED,evidence/probe_batch2.json
G3,B8 deprecated + novel literal inside the DETACHED ATTESTATION (outside closure),FAIL - EVASION SUCCEEDED,evidence/probe_batch2.json
G3,C1 novel digest smuggled into PAYLOAD_HASHES files[] (non-digest key),FAIL - EVASION SUCCEEDED,evidence/probe_batch2.json
G3,C2 novel digest under key 'supersedes_candidate_addendum' (startswith widening),FAIL - EVASION SUCCEEDED,evidence/probe_batch2.json
G3,C3 novel digest under payload_inventory.smuggled (exempt subtree),FAIL - EVASION SUCCEEDED,evidence/probe_batch2.json
G3,C4 sealed-4F0 namespace identifier SWAPPED (restricted_refreeze -> codex),FAIL - EVASION SUCCEEDED,evidence/probe_batch2.json
G3/G4/G7,D1 estimand denominator eligible_questions 1712 -> 1713 (seal),FAIL - EVASION SUCCEEDED,evidence/probe_batch3.json
G3/G4/G7,D2 excluded archive 1M::5 -> 1M::7 (seal),FAIL - EVASION SUCCEEDED,evidence/probe_batch3.json
G3/G4/G7,D3 arm identifier NATIVE_SIGN96 -> NATIVE_SIGN97 (spec),FAIL - EVASION SUCCEEDED,evidence/probe_batch3.json
G3/G4/G7,D4 Haar seed 43001 -> 43011 (spec),FAIL - EVASION SUCCEEDED,evidence/probe_batch3.json
G3/G4/G7,D5 invariance tolerance 1e-12 -> 1e-10 (spec),FAIL - EVASION SUCCEEDED,evidence/probe_batch3.json
G3/G4/G7,D6 latent seed 5101 -> 5102 (spec),FAIL - EVASION SUCCEEDED,evidence/probe_batch3.json
