audit_question_id,tier,conversation_id,ability,audit_category,primary_evidence_cohort_eligible,eligibility_reason,gold_source_unit_count,all_at_3_structurally_possible,gold_source_ids
100K::1::abstention::1,100K,1,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::1::abstention::2,100K,1,abstention,ABSTENTION_NO_POSITIVE_EVIDENCE,False,EXCLUDE_ABSTENTION_NO_POSITIVE_EVIDENCE,0,False,[]
100K::1::contradiction_resolution::1,100K,1,contradiction_resolution,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[58, 24]"
100K::1::contradiction_resolution::2,100K,1,contradiction_resolution,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[66]
100K::1::event_ordering::1,100K,1,event_ordering,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,3,True,"[4, 60, 116]"
100K::1::event_ordering::2,100K,1,event_ordering,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,4,False,"[6, 62, 118, 120]"
100K::1::information_extraction::1,100K,1,information_extraction,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[28]
100K::1::information_extraction::2,100K,1,information_extraction,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[28, 29]"
100K::1::instruction_following::1,100K,1,instruction_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[54, 56]"
100K::1::instruction_following::2,100K,1,instruction_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[110]
100K::1::knowledge_update::1,100K,1,knowledge_update,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[86, 114]"
100K::1::knowledge_update::2,100K,1,knowledge_update,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,2,True,"[148, 182]"
100K::1::multi_session_reasoning::1,100K,1,multi_session_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,3,True,"[14, 106, 162]"
100K::1::multi_session_reasoning::2,100K,1,multi_session_reasoning,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,3,True,"[16, 84, 150]"
100K::1::preference_following::1,100K,1,preference_following,EXACT_SOURCE_IDS,True,ELIGIBLE_EXACT_SOURCE_IDS_UNIQUE_ARCHIVE,1,True,[34]
