gate,item,requirement,result,basis,evidence
P1,delta_precondition_1,V5 runner bytes equal the accepted V4 runner bytes exactly,PASS,own re-derivation,evidence/G1_recursive_closure.json; evidence/G2_v4_to_v5_change_isolation.json
P2,delta_precondition_2,runner ASTs equal with docstrings stripped,PASS,own re-derivation,evidence/G2_v4_to_v5_change_isolation.json
P3,delta_precondition_3,retrieval-execution inputs and estimand anchors unchanged,PASS,own re-derivation,evidence/G3_corpus_manifest_verification.json; evidence/G3_cohort_anchor_verification.json; evidence/cli_preflight/auditor_cli_preflight.json
P4,delta_precondition_4,V4 independent-audit package and 30/30 manifest authentic,PASS,own re-derivation,evidence/G6_v4_audit_manifest_verification.json
P5,delta_precondition_5,V5 changes limited to declarative payloads and package preflight,PASS,own re-derivation,evidence/G2_v4_to_v5_change_isolation.json; evidence/G2_checker_diff.txt
P6,delta_precondition_6,single-source gate passes against the complete V5 payload closure,FAIL,own re-derivation,evidence/G3_single_source_rederivation.json; evidence/G5_fixture_experiments.json
G1,recursive_closure,nine files; no nested file; no __pycache__; all declared sizes and hashes match,PASS,own re-derivation,evidence/G1_recursive_closure.json
G1,bindings,inventory/seal/source-map bindings resolve and agree,PASS,own re-derivation,evidence/G1_recursive_closure.json; evidence/G3_single_source_rederivation.json
G1,nested_unbound_rejected,nested unbound file rejected in a temporary copy,PASS,own fixture,evidence/G5_fixture_experiments.json F1/F1b/F1c/F1d
G1,candidate_unchanged,real candidate byte-identical after all experiments,PASS,own re-derivation,evidence/G1_candidate_bytes_after_audit.json
G2,change_isolation,only executable delta is the out-of-band package checker,PASS,own re-derivation,evidence/G2_v4_to_v5_change_isolation.json
G2,runner_never_imports_checker,runner does not import or reference candidate_package_preflight,PASS,own re-derivation,evidence/G2_v4_to_v5_change_isolation.json
G2,numerical_core_unchanged,45 runner definition digests and all module constants identical,PASS,own re-derivation,evidence/G2_v4_to_v5_change_isolation.json
G3,item_3_1,every recursively bound payload enumerated,PASS,own re-derivation,evidence/G3_single_source_rederivation.json
G3,item_3_2,each load-bearing concept names one authoritative path plus locator; no concept declared twice,PASS,own re-derivation,evidence/G3_single_source_rederivation.json
G3,item_3_3,every repetition in the bound closure typed as a derived mirror and equal,FAIL,own re-derivation,evidence/G3_single_source_rederivation.json; evidence/G3_repetition_census.json
G3,item_3_4,no superseded V3 raw-float digest or stale V3 schema label survives as a requirement,PASS,own re-derivation,evidence/G3_single_source_rederivation.json
G3,item_3_5,registry exemption is exact and not widenable by a line-level trick,PASS,own re-derivation,evidence/G3_single_source_rederivation.json
